	round	test	search term	scope	domain	test type	selection	participants	selection time
1	1	1	influenza	very broad	Infectious Disease	L	c3	2.0	57
3	1	1	long covid	broad	Infectious Disease	L	c2	2.0	9
5	1	1	malaria therapeutics	very specific	Infectious Disease	L	c1	2.0	27
7	1	2	asthma	very broad	Allergy	L	c5	3.0	19
9	1	2	naegleria fowleri infection	very specific	Infectious Disease	L	c11	4.0	14
11	1	2	zika microcephaly	somewhat specific	Infectious Disease	L	c4	4.0	8
13	1	3	allergen skin prick test	somewhat specific	Allergy	L	c1	2.0	37
15	1	3	allergy treatment	broad	Allergy	L	c2	3.0	25
17	1	3	sublingual immunotherapy	very specific	Allergy	L	c4	4.0	17
19	1	4	AIDS	very broad	Immunology	L	c4	4.0	59
21	1	4	immunotherapeutics	somewhat specific	Immunology	L	c15	3.0	11
23	1	4	t-cell function	broad	Immunology	L	c3	3.0	12
25	1	5	addison's disease	very specific	Immunology	L	c4	2.0	26
27	1	5	cancer	very broad	General Biomedical	L	c3	2.0	16
29	1	5	myocardial infarction	broad	General Biomedical	L	c3	2.0	12
31	1	6	dendritic cells			L	c1	2.0	51
33	1	6	mast cells	broad	Cell types	L	c4	2.0	41
35	1	6	rational cancer drug design	somewhat specific	General Biomedical	L	c4	4.0	19
37	1	7	metabolomics	very broad	Experimental techniques	L	c5	3.0	8
39	1	7	pinealocyte	very specific	Cell types	L	c5	2.0	6
41	1	7	plasmacytoid dendritic cells	somewhat specific	Cell types	L	c2	3.0	7
43	1	8	gwas	broad	Experimental techniques	L	c1	3.0	22
45	1	8	mycobacterium	very broad	Infectious Disease	L	c3	2.0	10
47	1	8	tuberculin skin test	somewhat specific	Experimental techniques	L	c2	3.0	15
49	1	9	hiv	very broad	Infectious Disease	L	c4	3.0	10
51	1	9	influenza	very broad	Infectious Disease	L	c2	4.0	10
53	1	9	long covid	broad	Infectious Disease	L	c4	3.0	12
55	2	1	influenza	very broad	Infectious Disease	L	c9	2.0	47
57	2	1	long covid	broad	Infectious Disease	L	c7	3.0	21
59	2	1	malaria therapeutics	very specific	Infectious Disease	L	c9	2.0	23
61	2	2	allergy treatment	broad	Allergy	L	c6	3.0	21
63	2	2	asthma	very broad	Allergy	L	c10	2.0	9
65	2	2	zika microcephaly	somewhat specific	Infectious Disease	L	c5	3.0	9
67	2	3	AIDS	very broad	Immunology	L	c5	2.0	38
69	2	3	allergen skin prick test	somewhat specific	Allergy	L	c11	2.0	70
71	2	3	sublingual immunotherapy	very specific	Allergy	L	c6	3.0	28
73	2	4	addison's disease	very specific	Immunology	L	c10	2.0	5
75	2	4	cancer	very broad	General Biomedical	L	c5	2.0	13
77	2	4	t-cell function	broad	Immunology	L	c10	3.0	16
79	2	5	dendritic cells			L	c5	2.0	10
81	2	5	myocardial infarction	broad	General Biomedical	L	c5	3.0	28
83	2	5	rational cancer drug design	somewhat specific	General Biomedical	L	c5	3.0	17
85	2	6	mast cells	broad	Cell types	L	c5	2.0	44
87	2	6	metabolomics	very broad	Experimental techniques	L	c10	4.0	17
89	2	6	plasmacytoid dendritic cells	somewhat specific	Cell types	L	c6	2.0	21
91	2	7	gwas	broad	Experimental techniques	L	c6	4.0	20
93	2	7	mycobacterium	very broad	Infectious Disease	L	c5	2.0	23
